id	persName	QID	ttu_id
ttu_453_person_0	Richard Verrone	Q111653126	
ttu_453_person_1	Barbara Ann Weathers Geoghegan Johns	Q111653150	
ttu_453_person_2	Barbara	Q111653150	
ttu_453_person_3	Barbara	Q111653150	
ttu_453_person_4	Jack	Q6235071	
ttu_453_person_5	John		ttu_0011
ttu_453_person_6	Jack	Q6235071	
ttu_453_person_7	John		ttu_0011
ttu_453_person_8	Jack	Q6235071	
ttu_453_person_9	Jack Geoghegan	Q6235071	
ttu_453_person_10	Jack Geoghegan	Q6235071	
ttu_453_person_11	Jack	Q6235071	
ttu_453_person_12	Julius Nyerere	Q186525	
ttu_453_person_13	Cami		ttu_0012
ttu_453_person_14	Jack Geoghegan	Q6235071	
ttu_453_person_15	Jack	Q6235071	
ttu_453_person_16	Jack	Q6235071	
ttu_453_person_17	Jack	Q6235071	
ttu_453_person_18	Jack	Q6235071	
ttu_453_person_19	Jack	Q6235071	
ttu_453_person_20	Jack	Q6235071	
ttu_453_person_21	Hal Moore	Q430209	
ttu_453_person_22	Julia Compton Moore	Q6306317	
ttu_453_person_23	Hal Moore	Q430209	
ttu_453_person_24	Julia Compton Moore	Q6306317	
ttu_453_person_25	Julia Compton Moore	Q6306317	
ttu_453_person_26	Julia Compton Moore	Q6306317	
ttu_453_person_27	Madeleine Stowe	Q209098	
ttu_453_person_28	Jack	Q6235071	
ttu_453_person_29	Jack	Q6235071	
ttu_453_person_30	Jack	Q6235071	
ttu_453_person_31	Jack	Q6235071	
ttu_453_person_32	Jack	Q6235071	
ttu_453_person_33	Cami		ttu_0012
ttu_453_person_34	Jack	Q6235071	
ttu_453_person_35	Jack	Q6235071	
ttu_453_person_36	Jack	Q6235071	
ttu_453_person_37	Jack	Q6235071	
ttu_453_person_38	Jack	Q6235071	
ttu_453_person_39	Jack	Q6235071	
ttu_453_person_40	Jack	Q6235071	
ttu_453_person_41	Cami		ttu_0012
ttu_453_person_42	Jack	Q6235071	
ttu_453_person_43	Jack	Q6235071	
ttu_453_person_44	Barbara	Q111653150	
ttu_453_person_45	Bill	Q111669228	
ttu_453_person_46	Cami		ttu_0012
ttu_453_person_47	Jack	Q6235071	
ttu_453_person_48	Jack	Q6235071	
ttu_453_person_49	Hal Moore	Q430209	
ttu_453_person_50	Hal Moore	Q430209	
ttu_453_person_51	Camille		ttu_0012
ttu_453_person_52	Jack	Q6235071	
ttu_453_person_53	Jack	Q6235071	
ttu_453_person_54	Jack	Q6235071	
ttu_453_person_55	Jack	Q6235071	
ttu_453_person_56	Jack	Q6235071	
ttu_453_person_57	Aunt Pat		ttu_0013
ttu_453_person_58	Jack	Q6235071	
ttu_453_person_59	Jack	Q6235071	
ttu_453_person_60	Aunt Pat		ttu_0013
ttu_453_person_61	Jack	Q6235071	
ttu_453_person_62	Jack	Q6235071	
ttu_453_person_63	Camille		ttu_0012
ttu_453_person_64	Pat		ttu_0013
ttu_453_person_65	Cami		ttu_0012
ttu_453_person_66	Camille		ttu_0012
ttu_453_person_67	John		ttu_0011
ttu_453_person_68	Jack	Q6235071	
ttu_453_person_69	Jack	Q6235071	
ttu_453_person_70	John		ttu_0011
ttu_453_person_71	Cami		ttu_0012
ttu_453_person_72	Jack	Q6235071	
ttu_453_person_73	Joseph L. Galloway	Q3185182	
ttu_453_person_74	Tony Nadal	Q111442803	
ttu_453_person_75	Jack	Q6235071	
ttu_453_person_76	Joseph L. Galloway	Q3185182	
ttu_453_person_77	Joseph L. Galloway	Q3185182	
ttu_453_person_78	Tony	Q111442803	
ttu_453_person_79	Tony	Q111442803	
ttu_453_person_80	Tony	Q111442803	
ttu_453_person_81	Billy	Q111669228	
ttu_453_person_82	Tony	Q111442803	
ttu_453_person_83	Hal Moore	Q430209	
ttu_453_person_84	Jack	Q6235071	
ttu_453_person_85	John		ttu_0011
ttu_453_person_86	Joseph L. Galloway	Q3185182	
ttu_453_person_87	Jack	Q6235071	
ttu_453_person_88	Cami		ttu_0012
ttu_453_person_89	Jack	Q6235071	
ttu_453_person_90	Jack	Q6235071	
ttu_453_person_91	Jack	Q6235071	
ttu_453_person_92	Jack	Q6235071	
ttu_453_person_93	Keri Russell	Q229426	
ttu_453_person_94	Keri Russell	Q229426	
ttu_453_person_95	Camille		ttu_0012
ttu_453_person_96	Jack	Q6235071	
ttu_453_person_97	Jack	Q6235071	
ttu_453_person_98	Jack	Q6235071	
ttu_453_person_99	Jack	Q6235071	
ttu_453_person_100	Randall Wallace	Q1339625	
ttu_453_person_101	Randall Wallace	Q1339625	
ttu_453_person_102	Chris Klein	Q343453	
ttu_453_person_103	Rip Van Winkle		
ttu_453_person_104	Jack	Q6235071	
ttu_453_person_105	Camille		ttu_0012
ttu_453_person_106	Jack	Q6235071	
ttu_453_person_107	Sullivan Ballou	Q2364619	
ttu_453_person_108	Jack	Q6235071	
ttu_453_person_109	Barbara	Q111653150	
