id	orgName
ttu_467_org_0	2nd of 38th Infantry
ttu_467_org_1	11th Air Assault
ttu_467_org_2	1st Air Cavalry Division
ttu_467_org_3	Airmobile Division
ttu_467_org_4	USS Buckner
ttu_467_org_5	B Company
ttu_467_org_6	2nd of the 5th
ttu_467_org_7	5th Cav
ttu_467_org_8	7th and 10th
ttu_467_org_9	North Vietnamese
ttu_467_org_10	American
ttu_467_org_11	North Vietnamese
ttu_467_org_12	C, 1st of the 7th
ttu_467_org_13	B Company
ttu_467_org_14	American
ttu_467_org_15	North Vietnamese
ttu_467_org_16	Viet Cong
ttu_467_org_17	North Vietnamese
ttu_467_org_18	Americans
ttu_467_org_19	B 2nd of the 7th
ttu_467_org_20	B Company, 2nd of the 7th
ttu_467_org_21	North Vietnamese
ttu_467_org_22	North Vietnamese
ttu_467_org_23	North Vietnamese
ttu_467_org_24	Americans
ttu_467_org_25	North Vietnamese
ttu_467_org_26	Viet Cong
ttu_467_org_27	1st of the 5th
ttu_467_org_28	1st and the 5th
ttu_467_org_29	2nd of the 7th
ttu_467_org_30	1st of the 5th
ttu_467_org_31	North Vietnamese
ttu_467_org_32	5th Cav
ttu_467_org_33	B Company, 2nd of the 5th
ttu_467_org_34	North Vietnamese
ttu_467_org_35	North Vietnamese
ttu_467_org_36	B Company
ttu_467_org_37	B Company, 2nd of the 5th
