id	persName
ttu_467_person_0	Johnson
ttu_467_person_1	Arpan
ttu_467_person_2	Colonel Tully
ttu_467_person_3	Colonel Tully
ttu_467_person_4	Pam
ttu_467_person_5	Arpan
ttu_467_person_6	Joe Lynn
ttu_467_person_7	J.D. Coleman
ttu_467_person_8	Joe
ttu_467_person_9	Pemberton
ttu_467_person_10	Rescorla
ttu_467_person_11	Lieutenant Rescorla
ttu_467_person_12	Bong Son
ttu_467_person_13	Pemberton
ttu_467_person_14	Pemberton
ttu_467_person_15	Arpan
ttu_467_person_16	Gunnerson
ttu_467_person_17	Sergeant Cruz
ttu_467_person_18	Colonel Tully
ttu_467_person_19	PFC (Private First Class) Love
ttu_467_person_20	West
ttu_467_person_21	West
ttu_467_person_22	Sergeant Cruz
ttu_467_person_23	Colonel Tully
