id	orgName
ttu_468_org_0	Texas Tech University
ttu_468_org_1	Vietnam Center
ttu_468_org_2	11 Charlie
ttu_468_org_3	Company D
ttu_468_org_4	Company D
ttu_468_org_5	Company A.
ttu_468_org_6	1st of the 7th
ttu_468_org_7	1st of the 7th
ttu_468_org_8	1st Air Cav
ttu_468_org_9	2nd Battalion of the 23rd Infantry
ttu_468_org_10	11th Air Assault Division
ttu_468_org_11	Airmobile Division
ttu_468_org_12	LIFE Magazine
ttu_468_org_13	America
ttu_468_org_14	173rd
ttu_468_org_15	Marines
ttu_468_org_16	1st Division
ttu_468_org_17	101st
ttu_468_org_18	1st of the 7th
ttu_468_org_19	Delta Company
ttu_468_org_20	Delta Company
ttu_468_org_21	Company C
ttu_468_org_22	Company C
ttu_468_org_23	C Company
ttu_468_org_24	Company A
ttu_468_org_25	Company A
ttu_468_org_26	Company A
ttu_468_org_27	B Company
ttu_468_org_28	C Company
ttu_468_org_29	Company C
ttu_468_org_30	Company C
ttu_468_org_31	Japanese
ttu_468_org_32	1st Cav
ttu_468_org_33	15th Engineers
ttu_468_org_34	1st Brigade
ttu_468_org_35	1st of the 9th Cav
