id	orgName
ttu_470_org_0	Texas Tech University
ttu_470_org_1	Vietnam Center
ttu_470_org_2	Charlie Company, 1st of the 7th Cav
ttu_470_org_3	Charlie Company
ttu_470_org_4	1st Air Cav
ttu_470_org_5	11th Air Assault
ttu_470_org_6	1st Cav
ttu_470_org_7	2nd Division
ttu_470_org_8	11th Air Assault Division
ttu_470_org_9	11th Air Assault
ttu_470_org_10	11th Air Assault
ttu_470_org_11	11th Air Assault
ttu_470_org_12	82nd division
ttu_470_org_13	army
ttu_470_org_14	army
ttu_470_org_15	army
ttu_470_org_16	marine
ttu_470_org_17	army
ttu_470_org_18	Delta Company
ttu_470_org_19	Charlie Company
ttu_470_org_20	1st Air Cav
ttu_470_org_21	United States Government
ttu_470_org_22	special forces
ttu_470_org_23	1st Calvary
ttu_470_org_24	USS Maurice Rose
ttu_470_org_25	Rose
ttu_470_org_26	82nd
ttu_470_org_27	Charlie Company
ttu_470_org_28	army
ttu_470_org_29	Americans
ttu_470_org_30	Charlie Company
ttu_470_org_31	VC (Viet Cong)
ttu_470_org_32	VC
ttu_470_org_33	Charlie Company
ttu_470_org_34	red cross
ttu_470_org_35	army
ttu_470_org_36	1st of the 7th
ttu_470_org_37	Vietnam Center
