id	persName
ttu_470_person_0	Dr. Ron Milam
ttu_470_person_1	Martin Latigue
ttu_470_person_2	Latigue
ttu_470_person_3	Latigue
ttu_470_person_4	Martin
ttu_470_person_5	Captain Edwards
ttu_470_person_6	Captain Edwards
ttu_470_person_7	Bill Franklin
ttu_470_person_8	Bill Franklin
ttu_470_person_9	Sergeant Freeman
ttu_470_person_10	Sergeant Freeman
ttu_470_person_11	Sergeant Freeman
ttu_470_person_12	Captain Edwards
ttu_470_person_13	President Johnson
ttu_470_person_14	Captain Edwards
ttu_470_person_15	Captain Edwards
ttu_470_person_16	Captain Edwards
ttu_470_person_17	Bill Franklin
ttu_470_person_18	Franklin
ttu_470_person_19	General Moore
ttu_470_person_20	Bill Franklin
ttu_470_person_21	Frank
ttu_470_person_22	Joe
ttu_470_person_23	Sergeant Freeman
ttu_470_person_24	Charlie Company
ttu_470_person_25	Sergeant Freeman
ttu_470_person_26	Bill Franklin
ttu_470_person_27	Franklin
ttu_470_person_28	Captain Edwards
ttu_470_person_29	Franklin
ttu_470_person_30	Franklin
ttu_470_person_31	Charlie Dashner
ttu_470_person_32	Charlie
ttu_470_person_33	Charlie
ttu_470_person_34	Franklin
ttu_470_person_35	Captain Edwards
ttu_470_person_36	Sergeant Freeman
ttu_470_person_37	Jerry Smith
ttu_470_person_38	Sergeant Freeman
ttu_470_person_39	Charlie Dashner
ttu_470_person_40	Bill Franklin
ttu_470_person_41	Sergeant Freeman
ttu_470_person_42	Smith
ttu_470_person_43	Charlie
ttu_470_person_44	Charlie
ttu_470_person_45	Charlie
ttu_470_person_46	Charlie
ttu_470_person_47	Sergeant Freeman
ttu_470_person_48	Sergeant Freeman
ttu_470_person_49	Sergeant Freeman
ttu_470_person_50	Charlie
ttu_470_person_51	Sergeant Freeman
ttu_470_person_52	Charlie
ttu_470_person_53	Charlie
ttu_470_person_54	Charlie
ttu_470_person_55	Charlie
ttu_470_person_56	Charlie
ttu_470_person_57	Martin
ttu_470_person_58	Martin
