id	placeName	QID	ttu_id	coordinate location
ttu_470_place_0	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_1	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_2	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_3	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_4	Fort Polk	Q1438661		31.0726,-93.0806
ttu_470_place_5	Fort Polk	Q1438661		31.0726,-93.0806
ttu_470_place_6	Leesville	Q2453090		31.1436,-93.2711
ttu_470_place_7	Leesville	Q2453090		31.1436,-93.2711
ttu_470_place_8	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_9	Vietnam	Q881		16,108
ttu_470_place_10	Vietnam	Q881		16,108
ttu_470_place_11	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_12	United States of America	Q30		39.828175,-98.5795
ttu_470_place_13	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_14	Camden	Q1144372		34.259166666667,-80.609166666667
ttu_470_place_15	Vietnam	Q881		16,108
ttu_470_place_16	Vietnam	Q881		16,108
ttu_470_place_17	Vietnam	Q881		16,108
ttu_470_place_18	Vietnam	Q881		16,108
ttu_470_place_19	Vietnam	Q881		16,108
ttu_470_place_20	Vietnam	Q881		16,108
ttu_470_place_21	Vietnam	Q881		16,108
ttu_470_place_22	Vietnam	Q881		16,108
ttu_470_place_23	Vietnam	Q881		16,108
ttu_470_place_24	United States of America	Q30		39.828175,-98.5795
ttu_470_place_25	Vietnam	Q881		16,108
ttu_470_place_26	Vietnam	Q881		16,108
ttu_470_place_27	Vietnam	Q881		16,108
ttu_470_place_28	Vietnam	Q881		16,108
ttu_470_place_29	Vietnam	Q881		16,108
ttu_470_place_30	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_470_place_31	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_470_place_32	An Khê	Q15179893		13.9530664,108.6569463
ttu_470_place_33	An Khê	Q15179893		13.9530664,108.6569463
ttu_470_place_34	Vietnam	Q881		16,108
ttu_470_place_35	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_470_place_36	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_470_place_37	Vietnam	Q881		16,108
ttu_470_place_38	Vietnam	Q881		16,108
ttu_470_place_39	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_470_place_40	An Khê	Q15179893		13.9530664,108.6569463
ttu_470_place_41	Suối Cả Valley	Q110943631		14.150583333333334,108.95794444444445
ttu_470_place_42	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_43	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_44	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_45	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_46	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_47	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_48	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_49	Suối Cả Valley	Q110943631		14.150583333333334,108.95794444444445
ttu_470_place_50	Vietnam	Q881		16,108
ttu_470_place_51	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_52	Vietnam	Q881		16,108
ttu_470_place_53	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_54	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_55	Pleiku	Q30599		13.971519,108.014673
ttu_470_place_56	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_57	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_58	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_59	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_60	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_61	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_62	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_63	Vietnam	Q881		16,108
ttu_470_place_64	LZ X-Ray	Q110624850		13.567944,107.714
ttu_470_place_65	LZ X-Ray	Q110624850		13.567944,107.714
