id	orgName
ttu_473_org_0	Texas Tech University
ttu_473_org_1	Vietnam Center
ttu_473_org_2	A Company, 1st Battalion of the 7th Cavalry
ttu_473_org_3	A, 2nd of the 7th
ttu_473_org_4	1st of the 7th
ttu_473_org_5	1st of the 7th
ttu_473_org_6	1st Air Cav
ttu_473_org_7	1st Air Cav
ttu_473_org_8	class one of ’63
ttu_473_org_9	Class one of ’63
ttu_473_org_10	army
ttu_473_org_11	army
ttu_473_org_12	army
ttu_473_org_13	army
ttu_473_org_14	2nd of 23rd Infantry
ttu_473_org_15	2nd of the 23rd
ttu_473_org_16	11th Air Assault
ttu_473_org_17	2nd of the 23rd
ttu_473_org_18	1st Battalion of the 9th Infantry
ttu_473_org_19	2nd Infantry Division
ttu_473_org_20	11th Air Assault
ttu_473_org_21	1st Air Cav
ttu_473_org_22	2nd of the 23rd
ttu_473_org_23	military
ttu_473_org_24	2nd Infantry Division
ttu_473_org_25	1st Cavalry
ttu_473_org_26	1st Air Cav
ttu_473_org_27	Columbus paper
ttu_473_org_28	Inquirer
ttu_473_org_29	Alpha Company
ttu_473_org_30	Charlie Company
ttu_473_org_31	USNS Maurice Rose
ttu_473_org_32	Rose
ttu_473_org_33	Rose
ttu_473_org_34	Charlie Company
ttu_473_org_35	Charlie Company
ttu_473_org_36	2nd Infantry Division
ttu_473_org_37	army
ttu_473_org_38	ROTC (Reserve Officer Training Corps)
ttu_473_org_39	West Point
ttu_473_org_40	Charlie Company
ttu_473_org_41	Charlie Company
ttu_473_org_42	Alpha
ttu_473_org_43	Charlie Company
ttu_473_org_44	Rose
ttu_473_org_45	army
ttu_473_org_46	Charlie Company
ttu_473_org_47	A Company
ttu_473_org_48	A company
ttu_473_org_49	A Company
ttu_473_org_50	A Company
ttu_473_org_51	C Company
ttu_473_org_52	Cav
ttu_473_org_53	A
ttu_473_org_54	Charlie
ttu_473_org_55	Alpha
ttu_473_org_56	2nd of the 7th
ttu_473_org_57	Charlie Company
ttu_473_org_58	Bravo Company
ttu_473_org_59	A company
ttu_473_org_60	Charlie Company
ttu_473_org_61	A Company
ttu_473_org_62	Charlie Company
ttu_473_org_63	Charlie Company
ttu_473_org_64	A Company
ttu_473_org_65	B Company
ttu_473_org_66	VC (Viet Cong)
ttu_473_org_67	North Vietnamese regulars
ttu_473_org_68	Viet Cong
ttu_473_org_69	Alpha Company
ttu_473_org_70	Charlie Company
ttu_473_org_71	Bravo
ttu_473_org_72	Bravo Company
ttu_473_org_73	11th Assault
ttu_473_org_74	A Company
ttu_473_org_75	A Company
ttu_473_org_76	B Company
ttu_473_org_77	Delta Company
ttu_473_org_78	Charlie Company
ttu_473_org_79	A Company
ttu_473_org_80	A Company
ttu_473_org_81	B Company
ttu_473_org_82	B
ttu_473_org_83	B Company
ttu_473_org_84	B Company
ttu_473_org_85	B Company
ttu_473_org_86	B Company
ttu_473_org_87	B Company
ttu_473_org_88	B Company
ttu_473_org_89	B Company
ttu_473_org_90	C Company
ttu_473_org_91	Texas Tech University
ttu_473_org_92	Army
ttu_473_org_93	Texas Tech University
ttu_473_org_94	Texas Tech
