id	persName	QID	ttu_id
ttu_473_person_0	Ron Milam	Q110624764	
ttu_473_person_1	George Jennings	Q111658932	
ttu_473_person_2	George Jennings	Q111658932	
ttu_473_person_3	Ramon Antonio Nadal	Q111442803	
ttu_473_person_4	Elvis Presley	Q303	
ttu_473_person_5	Lyndon B. Johnson	Q9640	
ttu_473_person_6	Lester Mykel Conger	Q111724958	
ttu_473_person_7	Lyndon B. Johnson	Q9640	
ttu_473_person_8	Lyndon B. Johnson	Q9640	
ttu_473_person_9	Robert H. Edwards	Q111008041	
ttu_473_person_10	Robert H. Edwards	Q111008041	
ttu_473_person_11	Ramon Antonio Nadal	Q111442803	
ttu_473_person_12	Gerald Grohowski	Q111722487	
ttu_473_person_13	Ramon Antonio Nadal	Q111442803	
ttu_473_person_14	Gerald Grohowski	Q111722487	
ttu_473_person_15	Ramon Antonio Nadal	Q111442803	
ttu_473_person_16	Robert H. Edwards	Q111008041	
ttu_473_person_17	Robert H. Edwards	Q111008041	
ttu_473_person_18	Bill Lance		ttu_0153
ttu_473_person_19	Lieutenant Bill Lance		ttu_0153
ttu_473_person_20	Ramon Antonio Nadal	Q111442803	
ttu_473_person_21	Bill		ttu_0153
ttu_473_person_22	Ramon Antonio Nadal	Q111442803	
ttu_473_person_23	Ramon Antonio Nadal	Q111442803	
ttu_473_person_24	Ramon Antonio Nadal	Q111442803	
ttu_473_person_25	Ramon Antonio Nadal	Q111442803	
ttu_473_person_26	Hal Moore	Q430209	
ttu_473_person_27	Hal Moore	Q430209	
ttu_473_person_28	George Jennings	Q111658932	
ttu_473_person_29	Neil Allen Kroger	Q111653506	
ttu_473_person_30	Luther Vermont Gilreath	Q111678633	
ttu_473_person_31	Neil Allen Kroger	Q111653506	
ttu_473_person_32	Luther Vermont Gilreath	Q111678633	
ttu_473_person_33	Robert Edmund Taft	Q111658827	
ttu_473_person_34	Neil Allen Kroger	Q111653506	
ttu_473_person_35	George Jennings	Q111658932	
ttu_473_person_36	Robert Edmund Taft	Q111658827	
ttu_473_person_37	Ramon Antonio Nadal	Q111442803	
ttu_473_person_38	Ramon Antonio Nadal	Q111442803	
ttu_473_person_39	George Jennings	Q111658932	
ttu_473_person_40	Ramon Antonio Nadal	Q111442803	
ttu_473_person_41	Robert Edmund Taft	Q111658827	
ttu_473_person_42	Robert Edmund Taft	Q111658827	
ttu_473_person_43	John D. Herren	Q111678638	
ttu_473_person_44	Ramon Antonio Nadal	Q111442803	
ttu_473_person_45	John D. Herren	Q111678638	
ttu_473_person_46	Henry Herrick	Q111443617	
ttu_473_person_47	Henry Herrick	Q111443617	
ttu_473_person_48	Walter Joseph Marm, Jr.	Q7965296	
ttu_473_person_49	Walter Joseph Marm, Jr.	Q7965296	
