id	placeName
ttu_473_place_0	Fort Benning
ttu_473_place_1	Fort Benning
ttu_473_place_2	Foot Hood, Texas
ttu_473_place_3	Germany
ttu_473_place_4	Fort Benning
ttu_473_place_5	Fort Benning
ttu_473_place_6	Kelley Hill
ttu_473_place_7	Benning
ttu_473_place_8	Kelley Hill
ttu_473_place_9	Sand Hill
ttu_473_place_10	Kelley Hill
ttu_473_place_11	Vietnam
ttu_473_place_12	Fort Benning
ttu_473_place_13	Vietnam
ttu_473_place_14	Vietnam
ttu_473_place_15	An Khe
ttu_473_place_16	An Khe
ttu_473_place_17	An Khe
ttu_473_place_18	Vietnam
ttu_473_place_19	Qui Nhon
ttu_473_place_20	Qui Nhon Bay
ttu_473_place_21	An Khe
ttu_473_place_22	Happy Valley
ttu_473_place_23	Plei Me special forces camp
ttu_473_place_24	Pleiku province
ttu_473_place_25	valley
ttu_473_place_26	the states
ttu_473_place_27	Plei Me Special Forces Camp
ttu_473_place_28	Plei Me
ttu_473_place_29	Plei Me
ttu_473_place_30	Plei Me
ttu_473_place_31	Plei Me
ttu_473_place_32	Chu Pong Mountain
ttu_473_place_33	Plei Me
ttu_473_place_34	Vietnam
ttu_473_place_35	Bong Son
ttu_473_place_36	Ia Drang
ttu_473_place_37	Pleiku province
ttu_473_place_38	Bong Son
ttu_473_place_39	Bong Son
ttu_473_place_40	Bong Son
ttu_473_place_41	Vietnam
ttu_473_place_42	Bong Son
ttu_473_place_43	Fort Polk
ttu_473_place_44	Fort Polk
ttu_473_place_45	Fort Polk
ttu_473_place_46	Vietnam
ttu_473_place_47	Vietnam
ttu_473_place_48	Fort Polk, Louisiana
ttu_473_place_49	Fort Polk
ttu_473_place_50	Vietnam
ttu_473_place_51	General Moore
ttu_473_place_52	Vietnam
ttu_473_place_53	Korea
ttu_473_place_54	Vietnam
ttu_473_place_55	Orlando, Florida
ttu_473_place_56	Orlando
ttu_473_place_57	Fort Hood, Texas
ttu_473_place_58	Fort Hood
ttu_473_place_59	Hollywood
ttu_473_place_60	Hollywood
ttu_473_place_61	Vietnam
ttu_473_place_62	Hollywood
