id	placeName
ttu_477_place_0	Crystal Hilton City
ttu_477_place_1	Holly Springs, Mississippi
ttu_477_place_2	Fort Benning
ttu_477_place_3	Fort Rucker
ttu_477_place_4	Fort Benning
ttu_477_place_5	Vietnam
ttu_477_place_6	Mobile
ttu_477_place_7	Fort Benning
ttu_477_place_8	San Francisco
ttu_477_place_9	San Francisco
ttu_477_place_10	Honolulu
ttu_477_place_11	Hickam Air Force Base
ttu_477_place_12	Midway Island
ttu_477_place_13	Wake Island
ttu_477_place_14	Guam
ttu_477_place_15	Vietnam
ttu_477_place_16	Hawaii
ttu_477_place_17	Vung Tau
ttu_477_place_18	An Khe
ttu_477_place_19	An Khe Air Field
ttu_477_place_20	Camp Holloway, Pleiku
ttu_477_place_21	Camp Holloway
ttu_477_place_22	States
ttu_477_place_23	An Khe
ttu_477_place_24	Camp Holloway
ttu_477_place_25	Plei Me
ttu_477_place_26	An Khe
ttu_477_place_27	LZ (Landing Zone) X-Ray
ttu_477_place_28	Albany
ttu_477_place_29	An Khe
ttu_477_place_30	Ia Drang
ttu_477_place_31	Camp Holloway
ttu_477_place_32	Camp Holloway
ttu_477_place_33	Qui Nhon
ttu_477_place_34	Nha Trang
ttu_477_place_35	South Carolina
ttu_477_place_36	An Khe
ttu_477_place_37	Vietnam
ttu_477_place_38	An Khe
ttu_477_place_39	An Khe
ttu_477_place_40	Camp Holloway
ttu_477_place_41	X-Ray
ttu_477_place_42	An Khe
ttu_477_place_43	Pleiku
ttu_477_place_44	X-Ray
ttu_477_place_45	Pleiku
ttu_477_place_46	LZ X-Ray
ttu_477_place_47	Catecka
ttu_477_place_48	An Khe
ttu_477_place_49	An Khe
ttu_477_place_50	Pleiku
ttu_477_place_51	Camp Holloway
ttu_477_place_52	LZ Albany
ttu_477_place_53	Camp Holloway
ttu_477_place_54	Saigon
ttu_477_place_55	US
ttu_477_place_56	Holloway
ttu_477_place_57	Camp Holloway
ttu_477_place_58	Albany
ttu_477_place_59	Camp Holloway
ttu_477_place_60	Camp Holloway
ttu_477_place_61	An Khe
ttu_477_place_62	Camp Holloway
ttu_477_place_63	Kontum
ttu_477_place_64	States
ttu_477_place_65	States
ttu_477_place_66	Vietnam
ttu_477_place_67	the United States
ttu_477_place_68	South Carolina
ttu_477_place_69	Fort Benning
ttu_477_place_70	Puerto Rico
ttu_477_place_71	Puerto Rico
ttu_477_place_72	Fort Benning
ttu_477_place_73	Kansas City
ttu_477_place_74	Fort Meade, Maryland
ttu_477_place_75	San Francisco
ttu_477_place_76	Hawaii
ttu_477_place_77	Hawaii
ttu_477_place_78	Hickam Field,
ttu_477_place_79	Midway
ttu_477_place_80	Midway
ttu_477_place_81	An Khe
ttu_477_place_82	Pleiku
ttu_477_place_83	Plei Me Special Forces camp
ttu_477_place_84	An Khe
ttu_477_place_85	Saigon
ttu_477_place_86	Vietnam
ttu_477_place_87	Andersen
ttu_477_place_88	Andersen
ttu_477_place_89	Memphis
ttu_477_place_90	Vietnam
ttu_477_place_91	X-Ray
ttu_477_place_92	Albany
ttu_477_place_93	Qui Nhon
ttu_477_place_94	An Khe
ttu_477_place_95	An Khe
ttu_477_place_96	Pleiku
ttu_477_place_97	An Khe
ttu_477_place_98	Philippines
ttu_477_place_99	Fort Benning
ttu_477_place_100	South Carolina
ttu_477_place_101	Vietnam
ttu_477_place_102	Buffalo
