id	persName	QID	ttu_id
ttu_478_person_0	Thomas W. Brown	Q111630856	
ttu_478_person_1	Cynthia		ttu_0135
ttu_478_person_2	Swift Martin		ttu_0136
ttu_478_person_3	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_4	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_5	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_6	Major Robert B. Zion	Q111678223	
ttu_478_person_7	Captain Charles S. Knowlen	Q111678289	
ttu_478_person_8	Major Robert B. Zion	Q111678223	
ttu_478_person_9	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_10	Major Robert B. Zion	Q111678223	
ttu_478_person_11	Major Robert B. Zion	Q111678223	
ttu_478_person_12	John Hanlon	Q111677964	
ttu_478_person_13	Major Robert B. Zion	Q6171416	
ttu_478_person_14	Raymond Ortiz	Q111678192	
ttu_478_person_15	Hal Moore	Q430209	
ttu_478_person_16	Hal Moore	Q430209	
ttu_478_person_17	Hal Moore	Q430209	
ttu_478_person_18	Hal Moore	Q430209	
ttu_478_person_19	Hal Moore	Q430209	
ttu_478_person_20	Hal Moore	Q430209	
ttu_478_person_21	"Captain Theodore ""Ted"" Danielson"	Q111678017	
ttu_478_person_22	Thomas W. Brown	Q111630856	
ttu_478_person_23	Hal Moore	Q430209	
ttu_478_person_24	"Captain Theodore ""Ted"" Danielson"	Q111678017	
ttu_478_person_25	Joseph L. Galloway	Q3185182	
ttu_478_person_26	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_27	Lt. Col. John B. Stockton	Q111678103	
ttu_478_person_28	John Hanlon	Q111677964	
ttu_478_person_29	John Hanlon	Q111677964	
