id	persName	QID	ttu_id
ttu_482_person_0	Richard Verrone	Q111653126	
ttu_482_person_1	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
ttu_482_person_2	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
ttu_482_person_3	Ramon Antonio Nadal	Q111442803	
ttu_482_person_4	Hal Moore	Q430209	
ttu_482_person_5	Gregory P. Dillon	Q111442679	
ttu_482_person_6	Thomas W. Brown	Q111630856	
ttu_482_person_7	Hal Moore	Q430209	
ttu_482_person_8	Hal Moore	Q430209	
ttu_482_person_9	Hal Moore	Q430209	
ttu_482_person_10	Hal Moore	Q430209	
ttu_482_person_11	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
ttu_482_person_12	Gregory P. Dillon	Q111442679	
ttu_482_person_13	Hal Moore	Q430209	
ttu_482_person_14	Hal Moore	Q430209	
ttu_482_person_15	Hal Moore	Q430209	
ttu_482_person_16	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
ttu_482_person_17	Hal Moore	Q430209	
ttu_482_person_18	Robert H. Edwards	Q111008041	
ttu_482_person_19	Hal Moore	Q430209	
ttu_482_person_20	Joseph L. Galloway	Q3185182	
ttu_482_person_21	Leonard Heaton	Q111908620	
ttu_482_person_22	Leonard Heaton	Q111908620	
ttu_482_person_23	Leonard Heaton	Q111908620	
ttu_482_person_24	Hal Moore	Q430209	
ttu_482_person_25	Hal Moore	Q430209	
ttu_482_person_26	Bruce Perry Crandall	Q3431327	
ttu_482_person_27	Bruce Perry Crandall	Q3431327	
ttu_482_person_28	Raul Taboada	Q111678306	
ttu_482_person_29	Raul Taboada	Q111678306	
ttu_482_person_30	Laughs		
ttu_482_person_31	Bruce Perry Crandall	Q3431327	
ttu_482_person_32	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
ttu_482_person_33	Ramon Antonio Nadal	Q111442803	
ttu_482_person_34	John D. Herren	Q111678638	
ttu_482_person_35	Raul Taboada	Q111678306	
ttu_482_person_36	Raul Taboada	Q111678306	
ttu_482_person_37	Bruce Perry Crandall	Q3431327	
ttu_482_person_38	Alfredo Cantu Gonzalez	Q4723728	
ttu_482_person_39	Alfredo Cantu Gonzalez	Q4723728	
ttu_482_person_40	John D. Herren	Q111678638	
ttu_482_person_41	John D. Herren	Q111678638	
ttu_482_person_42	Hal Moore	Q430209	
ttu_482_person_43	Dugas		
ttu_482_person_44	Thomas Metsker	Q111908651	
ttu_482_person_45	Thomas Metsker	Q111908651	
ttu_482_person_46	Hal Moore	Q430209	
ttu_482_person_47	Hal Moore	Q430209	
ttu_482_person_48	Charlie Company		
ttu_482_person_49	Nicholas		
ttu_482_person_50	Nicholas		
ttu_482_person_51	Nicholas		
ttu_482_person_52	William Westmoreland	Q298793	
ttu_482_person_53	Robert McNamara	Q191999	
ttu_482_person_54	Robert McNamara	Q191999	
ttu_482_person_55	"Capt. Louis R. ""Ray"" LeFebvre"	Q111908628	
