id	placeName
ttu_482_place_0	Washington, D.C
ttu_482_place_1	Hilton Crystal City
ttu_482_place_2	Vietnam
ttu_482_place_3	Monterey, California
ttu_482_place_4	Okinawa
ttu_482_place_5	Vietnam
ttu_482_place_6	Okinawa
ttu_482_place_7	Vietnam
ttu_482_place_8	US
ttu_482_place_9	Vietnam
ttu_482_place_10	Vietnam
ttu_482_place_11	Hanoi
ttu_482_place_12	X-Ray
ttu_482_place_13	Albany
ttu_482_place_14	Vietnam
ttu_482_place_15	Happy Valley
ttu_482_place_16	 An Khe
ttu_482_place_17	Golf Course.
ttu_482_place_18	Happy Valley
ttu_482_place_19	Fort Benning
ttu_482_place_20	Fort Benning
ttu_482_place_21	Columbus, Georgia
ttu_482_place_22	Fort Benning
ttu_482_place_23	Vietnam
ttu_482_place_24	Fort Benning
ttu_482_place_25	Fort Benning
ttu_482_place_26	X-Ray
ttu_482_place_27	X-Ray
ttu_482_place_28	Taboada
ttu_482_place_29	Vietnam
ttu_482_place_30	Vietnam
ttu_482_place_31	Vietnam
ttu_482_place_32	Athens, Georgia
ttu_482_place_33	Foot Hood,
ttu_482_place_34	Washington
ttu_482_place_35	Vietnam
ttu_482_place_36	Washington
ttu_482_place_37	valley
ttu_482_place_38	US
