id	placeName	QID	dvp_id	coordinate location
ttu_483_place_0	Washington, D.C.	Q61		38.895,-77.036666666667
ttu_483_place_1	Hilton Crystal City at Washington Reagan National Airport	Q110624980		38.852191,-77.052014
ttu_483_place_2	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
ttu_483_place_3	Kelley Hill	Q110888302		32.38325815053565,-84.89875257096901
ttu_483_place_4	Vietnam	Q881		16,108
ttu_483_place_5	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_6	Plei Me Camp	Q110624862		13.6175,107.9175
ttu_483_place_7	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_8	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_9	Florida	Q812		28.133333333333,-81.631666666667
ttu_483_place_10	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_11	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_12	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_13	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_14	Chư Pong	Q31621915		13.315277777778,108.35555555556
ttu_483_place_15	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
ttu_483_place_16	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_17	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
ttu_483_place_18	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_19	Hollywood	Q34006		34.098333333333336,-118.32666666666667
ttu_483_place_20	South Carolina	Q1456		34,-81
ttu_483_place_21	United States Military Academy	Q9219		41.39277778,-73.95833333
ttu_483_place_22	Ryukyu Islands	Q10905515		26.332807,127.749023
ttu_483_place_23	Ryukyu Islands	Q10905515		26.332807,127.749023
ttu_483_place_24	Japan	Q17		35,136
ttu_483_place_25	Okinawa	Q328615		26.334166666667,127.80555555556
ttu_483_place_26	Korea	Q18097		38.316666666667,127.23333333333
ttu_483_place_27	LZ X-Ray	Q110624850		13.567944,107.714
ttu_483_place_28	New York City	Q60		40.712728,-74.006015
ttu_483_place_29	United States Military Academy	Q9219		41.39277778,-73.95833333
ttu_483_place_30	Hollywood	Q34006		34.098333333333336,-118.32666666666667
ttu_483_place_31	South Carolina	Q1456		34,-81
