id	persName	QID	ttu_id
ttu_487_person_0	Richard Verrone	Q111653126	
ttu_487_person_1	Tracy Black Enders	Q111822391	
ttu_487_person_2	Tracy Black Enders	Q111822391	
ttu_487_person_3	Jane Fonda	Q41142	
ttu_487_person_4	Jane Fonda	Q41142	
ttu_487_person_5	John B. Stockton	Q111823261	
ttu_487_person_6	John B. Stockton	Q111823261	
ttu_487_person_7	John Stockton	Q213346	
ttu_487_person_8	Mary		ttu_0161
ttu_487_person_9	J.D. Coleman	Q111659082	
ttu_487_person_10	Hal Moore	Q430209	
ttu_487_person_11	Hal Moore	Q430209	
ttu_487_person_12	Hal Moore	Q430209	
ttu_487_person_13	Hal Moore	Q430209	
ttu_487_person_14	Hal Moore	Q430209	
ttu_487_person_15	Hal Moore	Q430209	
ttu_487_person_16	Hal Moore	Q430209	
ttu_487_person_17	Robert V. Poos	Q111823108	
ttu_487_person_18	Joseph L. Galloway	Q3185182	
ttu_487_person_19	Joseph L. Galloway	Q3185182	
ttu_487_person_20	Robert V. Poos	Q111823108	
ttu_487_person_21	Joseph L. Galloway	Q3185182	
ttu_487_person_22	Joseph L. Galloway	Q3185182	
ttu_487_person_23	Joseph L. Galloway	Q3185182	
ttu_487_person_24	Hal Moore	Q430209	
ttu_487_person_25	Joseph L. Galloway	Q3185182	
ttu_487_person_26	Joseph L. Galloway	Q3185182	
ttu_487_person_27	Charles Black	Q111822418	
ttu_487_person_28	Joseph L. Galloway	Q3185182	
ttu_487_person_29	Joseph L. Galloway	Q3185182	
ttu_487_person_30	John Laurence	Q48719863	
ttu_487_person_31	Joseph L. Galloway	Q3185182	
ttu_487_person_32	Joseph L. Galloway	Q3185182	
ttu_487_person_33	Joseph L. Galloway	Q3185182	
ttu_487_person_34	Robert V. Poos	Q111823108	
ttu_487_person_35	Peter Arnett	Q142025	
ttu_487_person_36	Peter Arnett	Q142025	
ttu_487_person_37	Peter Arnett	Q142025	
ttu_487_person_38	Peter Arnett	Q142025	
ttu_487_person_39	Joseph L. Galloway	Q3185182	
ttu_487_person_40	Joseph L. Galloway	Q3185182	
ttu_487_person_41	Robert V. Poos	Q111823108	
ttu_487_person_42	Laurence Jack	Q21063767	
ttu_487_person_43	Joseph L. Galloway	Q3185182	
ttu_487_person_44	Hal Moore	Q430209	
ttu_487_person_45	Joseph L. Galloway	Q3185182	
ttu_487_person_46	Michael		ttu_0162
ttu_487_person_47	Michael		ttu_0162
ttu_487_person_48	Charles Black	Q111822418	
ttu_487_person_49	Charles Black	Q111822418	
ttu_487_person_50	Tracy Black Enders	Q111822391	
