id	orgName
ttu_488_org_0	1st Cav
ttu_488_org_1	1st of the 9th Air Cavalry squadron
ttu_488_org_2	1st Cavalry Division
ttu_488_org_3	North Vietnamese
ttu_488_org_4	1st Cavalry Division
ttu_488_org_5	North Vietnamese
ttu_488_org_6	1st Cavalry Division
ttu_488_org_7	Charlie troop
ttu_488_org_8	7th Cavalry
ttu_488_org_9	North Vietnamese
ttu_488_org_10	North Vietnamese
ttu_488_org_11	9th Cavalry Aircraft reconnaissance squadron
ttu_488_org_12	227th
ttu_488_org_13	229th
ttu_488_org_14	Charlie troop
ttu_488_org_15	A troop
ttu_488_org_16	B troop
ttu_488_org_17	Charlie troop
ttu_488_org_18	North Vietnamese
ttu_488_org_19	North Vietnamese
ttu_488_org_20	Air Force
ttu_488_org_21	North Vietnamese
ttu_488_org_22	North Vietnamese
ttu_488_org_23	North Vietnamese
ttu_488_org_24	Army
ttu_488_org_25	7th Cav
ttu_488_org_26	1st of the 9th
ttu_488_org_27	1st of the 9th
ttu_488_org_28	1st of the 9th
ttu_488_org_29	Colonel Stockton
ttu_488_org_30	1st of the 7th
ttu_488_org_31	Newsweek
ttu_488_org_32	1st of the 9th
ttu_488_org_33	7th
