id	persName	QID	ttu_id
ttu_490_person_0	Philip F. Napoli	Q111599207	
ttu_490_person_1	Belton		
ttu_490_person_2	Presley		ttu_0185
ttu_490_person_3	Presley Hilario DeLaPaz		ttu_0185
ttu_490_person_4	Presley		ttu_0185
ttu_490_person_5	Elvis Presley	Q303	
ttu_490_person_6	Pierson		ttu_0186
ttu_490_person_7	Presley		ttu_0185
ttu_490_person_8	Pierson		ttu_0186
ttu_490_person_9	Pierson		ttu_0186
ttu_490_person_10	Pierson Rafael DeLaPaz		ttu_0186
ttu_490_person_11	Annette		ttu_0187
ttu_490_person_12	Nancy		ttu_0187
ttu_490_person_13	Clinton Poley	Q112135418	
ttu_490_person_14	Clinton Poley	Q112135418	
ttu_490_person_15	James Comer	Q112135516	
ttu_490_person_16	Clinton Poley	Q112135418	
ttu_490_person_17	David Nieves		ttu_0188
ttu_490_person_18	Warren Adams	Q16063356	
ttu_490_person_19	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_20	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_21	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_22	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_23	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_24	Presley		ttu_0185
ttu_490_person_25	Elvis Presley	Q303	
ttu_490_person_26	Elvis Presley	Q303	
ttu_490_person_27	Elvis Presley	Q303	
ttu_490_person_28	Presley		ttu_0185
ttu_490_person_29	Presley		ttu_0185
ttu_490_person_30	Elvis Presley	Q303	
ttu_490_person_31	Presley		ttu_0185
ttu_490_person_32	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_33	John Geoghegan	Q6235071	
ttu_490_person_34	John Geoghegan	Q6235071	
ttu_490_person_35	Peter Pace	Q540453	
ttu_490_person_36	Joe		
ttu_490_person_37	Lyndon B. Johnson	Q9640	
ttu_490_person_38	Dacen DeLaPaz	Q112135398	
ttu_490_person_39	Loretta		ttu_0189
ttu_490_person_40	Hilario De La Paz Jr	Q112135405	
ttu_490_person_41	Lady Bird Johnson	Q233648	
ttu_490_person_42	Lyndon B. Johnson	Q9640	
ttu_490_person_43	Louis Andrew Niemeyer Jr	Q112135497	
ttu_490_person_44	Hal Moore	Q430209	
ttu_490_person_45	Hilario De La Paz Jr	Q112135405	
ttu_490_person_46	Hilario De La Paz Jr	Q112135405	
ttu_490_person_47	Hilario De La Paz Jr	Q112135405	
ttu_490_person_48	Hal Moore	Q430209	
