id	name	QID	ttu_id	start time	end time	point in time
ttu_492_event_0	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_492_event_1	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_492_event_2	Battle of Ia Drang	Q714749		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_492_event_3	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
ttu_492_event_4	Battle of Ia Drang	Q714749		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_492_event_5	September 11 attacks	Q10806				2001-09-11T00:00:00Z
ttu_492_event_6	Battle of Ia Drang	Q714749		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_492_event_7	Battle of Ia Drang	Q714749		1965-11-14T00:00:00Z	1965-11-18T00:00:00Z	
ttu_492_event_8	Hurricane Katrina	Q16422		2005-08-23T00:00:00Z	2005-08-31T00:00:00Z	
ttu_492_event_9	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
ttu_492_event_10	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_492_event_11	Hurricane Katherine	Q64213606		1973-09-29T00:00:00Z	1973-10-09T00:00:00Z	
ttu_492_event_12	Hurricane Katrina	Q16422		2005-08-23T00:00:00Z	2005-08-31T00:00:00Z	
ttu_492_event_13	Hurricane Rita	Q737890		2005-09-18T00:00:00Z	2005-09-26T00:00:00Z	
ttu_492_event_14	Hurricane Rita	Q737890		2005-09-18T00:00:00Z	2005-09-26T00:00:00Z	
