id	persName
ttu_495_person_0	Dr. Richard Verrone
ttu_495_person_1	Robert Lee Barker, Lieutenant Colonel
ttu_495_person_2	Colonel Barker
ttu_495_person_3	Moore
ttu_495_person_4	Colonel Moore
ttu_495_person_5	Colonel Moore
ttu_495_person_6	Colonel Moore
ttu_495_person_7	Colonel Moore
ttu_495_person_8	Colonel Moore
ttu_495_person_9	Lieutenant McPherson
ttu_495_person_10	Lieutenant Fisher
ttu_495_person_11	Ralph Fisher
ttu_495_person_12	Bill Riddle
ttu_495_person_13	Tim Blake
ttu_495_person_14	Colonel Moore
ttu_495_person_15	Colonel William Becker
ttu_495_person_16	Bob
ttu_495_person_17	Colonel Becker
ttu_495_person_18	Colonel Becker
ttu_495_person_19	Herrick
ttu_495_person_20	Sergeant Brown
ttu_495_person_21	Charlie Sanford
ttu_495_person_22	Tim Blake
ttu_495_person_23	Tim
ttu_495_person_24	Lieutenant Tim Blake
ttu_495_person_25	Colonel Moore
ttu_495_person_26	John Herren
ttu_495_person_27	Colonel Moore
ttu_495_person_28	Colonel Moore
ttu_495_person_29	Colonel Moore
ttu_495_person_30	General Moore
ttu_495_person_31	Neil Crocker
ttu_495_person_32	 Captain Neil Crocker
ttu_495_person_33	General Moore
ttu_495_person_34	Colonel Barker
