id	placeName
ttu_501_place_0	Crystal City Hilton
ttu_501_place_1	Washington D.C.
ttu_501_place_2	Ia Drang Valley
ttu_501_place_3	Falcon
ttu_501_place_4	 X-Ray
ttu_501_place_5	Albany
ttu_501_place_6	X-Ray
ttu_501_place_7	X-Ray
ttu_501_place_8	X-Ray
ttu_501_place_9	LZ (Landing Zone) Columbus
ttu_501_place_10	X-Ray
ttu_501_place_11	X-Ray
ttu_501_place_12	X-Ray
ttu_501_place_13	Albany
ttu_501_place_14	LZ
ttu_501_place_15	Albany
ttu_501_place_16	Albany
ttu_501_place_17	Albany
ttu_501_place_18	Albany
ttu_501_place_19	Albany
ttu_501_place_20	Fort Benning
ttu_501_place_21	Berea, Ohio
ttu_501_place_22	Baltimore
ttu_501_place_23	Atlanta
ttu_501_place_24	Allentown, Pennsylvania
ttu_501_place_25	Albemarle, North Carolina
ttu_501_place_26	LZ X-Ray
ttu_501_place_27	Georgia
ttu_501_place_28	Albany
ttu_501_place_29	Vietnam
ttu_501_place_30	Columbus
ttu_501_place_31	CH-47
ttu_501_place_32	LZ
ttu_501_place_33	An Khe
ttu_501_place_34	Bong Son
ttu_501_place_35	Fort Benning
ttu_501_place_36	Albany
ttu_501_place_37	Vietnam
ttu_501_place_38	Albany
ttu_501_place_39	Albany
ttu_501_place_40	California
