id	placeName	QID	ttu_id	coordinate location
ttu_502_place_0	Hilton Crystal City at Washington Reagan National Airport	Q110624980		38.852191,-77.052014
ttu_502_place_1	LZ X-Ray	Q110624850		13.344598, 107.4250400
ttu_502_place_2	Albany	Q24861		42.65,-73.766666666667
ttu_502_place_3	LZ Columbus	Q110713739		13.35208, 107.44290
ttu_502_place_4	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_502_place_5	United States of America	Q30		39.828175,-98.5795
ttu_502_place_6	An Khê	Q15179893		13.953066, 108.656946
ttu_502_place_7	Vietnam	Q881		16,108
ttu_502_place_8	LZ X-Ray	Q110624850		13.567944,107.714
ttu_502_place_9	United States Military Academy	Q9219		41.39277778,-73.95833333
ttu_502_place_10	LZ X-Ray	Q110624850		13.567944,107.714
ttu_502_place_11	South Korea	Q884		36, 128
ttu_502_place_12	Vietnam	Q881		16,108
ttu_502_place_13	LZ X-Ray	Q110624850		13.567944,107.714
ttu_502_place_14	Chư Pong	Q31621915		13.1855, 108.2120
ttu_502_place_15	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
ttu_502_place_16	LZ X-Ray	Q101580609		13.567944,107.714
ttu_502_place_17	CP (Command Post)			
ttu_502_place_18	CP			
ttu_502_place_19	Taboada			
ttu_502_place_20	Fort Benning	Q1438462		32.2158, 84.589
ttu_502_place_21	Chư Pong	Q65040315		13.572861, 107.66598
ttu_502_place_22	Hollywood	Q34006		34.554, 118.1936
ttu_502_place_23	Vietnam	Q881		16,108
ttu_502_place_24	Nadal			
ttu_502_place_25	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_502_place_26	Pleiku	Q30599		13.5817468, 108.052823
ttu_502_place_27	An Khê	Q15179893		13.953066, 108.656946
ttu_502_place_28	Japan	Q17		35, 136
ttu_502_place_29	An Khê	Q15179893		13.953066, 108.656946
ttu_502_place_30	Hollywood	Q34006		34.554, 118.1936
