id	placeName
ttu_503_place_0	Washington, D.C.
ttu_503_place_1	Crystal City Hilton
ttu_503_place_2	LZ X-Ray
ttu_503_place_3	Africa
ttu_503_place_4	Fort Riley, Kansas
ttu_503_place_5	Vietnam
ttu_503_place_6	Vietnam
ttu_503_place_7	D.C.
ttu_503_place_8	Fort Benning
ttu_503_place_9	Fort Benning
ttu_503_place_10	Vietnam
ttu_503_place_11	Vietnam
ttu_503_place_12	Vietnam
ttu_503_place_13	Saigon
ttu_503_place_14	Ho Chi Minh City
ttu_503_place_15	Ho Chi Minh City
ttu_503_place_16	Vietnam
ttu_503_place_17	Saigon
ttu_503_place_18	Pleiku
ttu_503_place_19	X-Ray
ttu_503_place_20	Pleiku
ttu_503_place_21	Plei Me
ttu_503_place_22	Vietnam
ttu_503_place_23	Da Nang
ttu_503_place_24	Furama
ttu_503_place_25	Hanoi
