id	name	QID	ttu_id	start time	end time	point in time
ttu_509_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_509_event_1	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_509_event_2	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_509_event_3	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
ttu_509_event_4	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
ttu_509_event_5	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
ttu_509_event_6	Iraq War	Q545449		2003-03-20T00:00:00Z	2011-12-15T00:00:00Z	
ttu_509_event_7	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
ttu_509_event_8	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
ttu_509_event_9	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
ttu_509_event_10	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
