id	placeName
ttu_509_place_0	Washington D.C.
ttu_509_place_1	Ia Drang
ttu_509_place_2	Pleiku
ttu_509_place_3	X-Ray
ttu_509_place_4	Vietnam
ttu_509_place_5	West Point
ttu_509_place_6	Japan
ttu_509_place_7	Fort Bragg
ttu_509_place_8	pentagon
ttu_509_place_9	Fort Benning
ttu_509_place_10	Carolinas
ttu_509_place_11	Georgia
ttu_509_place_12	West Point
ttu_509_place_13	Landing Zone X-Ray
ttu_509_place_14	Vietnam
ttu_509_place_15	Pentagon
ttu_509_place_16	Colorado
ttu_509_place_17	Landing Zone X-Ray
ttu_509_place_18	West Point
ttu_509_place_19	West Point
ttu_509_place_20	West Point
ttu_509_place_21	United States
ttu_509_place_22	X-Ray
ttu_509_place_23	Vietnam
ttu_509_place_24	Ia Drang Valley
ttu_509_place_25	Vietnam
ttu_509_place_26	Vietnam
ttu_509_place_27	Iraq
ttu_509_place_28	Vietnam
ttu_509_place_29	Vietnam
ttu_509_place_30	Di An, Binh Duong
ttu_509_place_31	Vietnam
ttu_509_place_32	Ia Drang
ttu_509_place_33	Hanoi
ttu_509_place_34	Vietnam
ttu_509_place_35	Vietnam
ttu_509_place_36	Laos
ttu_509_place_37	Cambodia
ttu_509_place_38	Southeast Asia
ttu_509_place_39	Southeast Asia
ttu_509_place_40	Vietnam
ttu_509_place_41	Hanoi
ttu_509_place_42	Landing Zone X-Ray
ttu_509_place_43	X-Ray
ttu_509_place_44	Pleiku
ttu_509_place_45	Plei Me
ttu_509_place_46	LZ (Landing Zone) Albany
ttu_509_place_47	LZ X-Ray
ttu_509_place_48	Vietnam
ttu_509_place_49	Hanoi
ttu_509_place_50	Da Nang
ttu_509_place_51	Hue
ttu_509_place_52	Củ Chi
ttu_509_place_53	Saigon
ttu_509_place_54	Caravelle
ttu_509_place_55	Plei Me
ttu_509_place_56	Pleiku
ttu_509_place_57	Plei Me
ttu_509_place_58	Plei Me
ttu_509_place_59	Ia Drang Valley
ttu_509_place_60	X-Ray
ttu_509_place_61	Cambodian
ttu_509_place_62	Ia Drang River
ttu_509_place_63	Cambodia
ttu_509_place_64	Hanoi
ttu_509_place_65	Fort Benning
ttu_509_place_66	Georgia
ttu_509_place_67	Korea
ttu_509_place_68	Vietnam
ttu_509_place_69	Vietnam
ttu_509_place_70	Vietnam
ttu_509_place_71	 United States
ttu_509_place_72	Vietnam
ttu_509_place_73	Nha Trang
ttu_509_place_74	America
ttu_509_place_75	Nha Trang
ttu_509_place_76	Vietnam
ttu_509_place_77	An Khe
ttu_509_place_78	Saigon
ttu_509_place_79	Saigon
ttu_509_place_80	Tan Son Nhut Airport
ttu_509_place_81	America
ttu_509_place_82	Tan Son Nhut
ttu_509_place_83	Saigon
ttu_509_place_84	Saigon
ttu_509_place_85	Fort Benning
ttu_509_place_86	Alabama
ttu_509_place_87	Auburn
ttu_509_place_88	Fort Benning, Georgia
ttu_509_place_89	Fort Benning
ttu_509_place_90	Pleiku
ttu_509_place_91	Plei Me
ttu_509_place_92	Plei Me
ttu_509_place_93	Pleiku
ttu_509_place_94	Plei Me
ttu_509_place_95	Plei Me
ttu_509_place_96	Plei Me
ttu_509_place_97	X-Ray
ttu_509_place_98	Vietnam
ttu_509_place_99	Plei Me
ttu_509_place_100	X-Ray
ttu_509_place_101	Vietnam
ttu_509_place_102	Korea
ttu_509_place_103	Korea
ttu_509_place_104	Vietnam
ttu_509_place_105	Vietnam
ttu_509_place_106	Vietnam
ttu_509_place_107	Vietnam
ttu_509_place_108	US
ttu_509_place_109	X-Ray
ttu_509_place_110	Vietnam
ttu_509_place_111	X-Ray
ttu_509_place_112	Pleiku
ttu_509_place_113	Saigon
ttu_509_place_114	Bong Son plain
ttu_509_place_115	Pentagon
ttu_509_place_116	Pentagon
ttu_509_place_117	Fort Benning
ttu_509_place_118	Fort Sill
ttu_509_place_119	Fort Knox
ttu_509_place_120	Fort Benning
ttu_509_place_121	Fort Benning
ttu_509_place_122	Iraq
ttu_509_place_123	Vietnam
ttu_509_place_124	Chicago
ttu_509_place_125	Saigon
ttu_509_place_126	Redskins’ Stadium
ttu_509_place_127	Vietnam
ttu_509_place_128	X-Ray
ttu_509_place_129	Pentagon
ttu_509_place_130	pentagon
ttu_509_place_131	Ia Drang Valley
ttu_509_place_132	Chu Pong Mountain Complex
ttu_509_place_133	Chu Pong Mountain Complex
ttu_509_place_134	Ia Drang River
ttu_509_place_135	Duc Co Special Forces camp
ttu_509_place_136	X-Ray
ttu_509_place_137	Ia Drang Valley
ttu_509_place_138	X-Ray
