id	persName
ttu_460_person_0	Dr. Ron Milam
ttu_460_person_1	Bud Alley
ttu_460_person_2	Bud
ttu_460_person_3	Enrique Pujals
ttu_460_person_4	Jim Bail
ttu_460_person_5	Paul Bonacourse
ttu_460_person_6	Mike Mantegna
ttu_460_person_7	Joe Marm
ttu_460_person_8	Benning
ttu_460_person_9	Barney Gill
ttu_460_person_10	Barney
ttu_460_person_11	Barney
ttu_460_person_12	Barney
ttu_460_person_13	President Johnson
ttu_460_person_14	Johnson
ttu_460_person_15	Bernard Fall
ttu_460_person_16	Colonel John D. White
ttu_460_person_17	Bernard Fall
ttu_460_person_18	General Westmoreland
ttu_460_person_19	Dan Boone
ttu_460_person_20	Major Mallet
ttu_460_person_21	Lieutenant John Howard
ttu_460_person_22	John
ttu_460_person_23	John
ttu_460_person_24	Captain Dan
ttu_460_person_25	Major Henry
ttu_460_person_26	Colonel Moore
ttu_460_person_27	Major Henry
ttu_460_person_28	John Howard
ttu_460_person_29	John
ttu_460_person_30	Joel Sugdinis
ttu_460_person_31	Major Henry
ttu_460_person_32	Sugdinis
ttu_460_person_33	John
ttu_460_person_34	John
ttu_460_person_35	Colonel Moore
ttu_460_person_36	Pat Payne
ttu_460_person_37	Dan
ttu_460_person_38	Dan Boone
ttu_460_person_39	Doc Shucart
ttu_460_person_40	Charlie Company
ttu_460_person_41	Joel
ttu_460_person_42	Captain Forrest
ttu_460_person_43	John Howard Nash
ttu_460_person_44	John
ttu_460_person_45	John
ttu_460_person_46	Tony Nadal
ttu_460_person_47	Frank Henry
ttu_460_person_48	Frank
ttu_460_person_49	John Howard
ttu_460_person_50	John
ttu_460_person_51	Lieutenant Butch Aull
ttu_460_person_52	Butch
ttu_460_person_53	Aull
ttu_460_person_54	Butch
ttu_460_person_55	Butch
ttu_460_person_56	Butch
ttu_460_person_57	Butch
ttu_460_person_58	Jim Brigham
ttu_460_person_59	Jim
ttu_460_person_60	Jim
ttu_460_person_61	John Howard
ttu_460_person_62	John
ttu_460_person_63	John
ttu_460_person_64	John
ttu_460_person_65	John
ttu_460_person_66	John
ttu_460_person_67	Colonel Moore
ttu_460_person_68	General Westmoreland
ttu_460_person_69	Westmoreland
