id	placeName	QID	ttu_id	coordinate location
ttu_469_place_0	United States of America	Q30		39.828175,-98.5795
ttu_469_place_1	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_2	Oklahoma	Q1649		35.5,-98
ttu_469_place_3	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_4	Vietnam	Q881		16,108
ttu_469_place_5	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_469_place_6	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_469_place_7	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_8	Korea	Q18097		38.316666666667,127.23333333333
ttu_469_place_9	Vietnam	Q881		16,108
ttu_469_place_10	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_469_place_11	Vietnam	Q881		16,108
ttu_469_place_12	Vietnam	Q881		16,108
ttu_469_place_13	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_14	Vietnam	Q881		16,108
ttu_469_place_15	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_16	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_469_place_17	Fort Sill	Q1018681		34.704166666667,-98.508333333333
ttu_469_place_18	Fort Benning	Q1438462		32.366111111111,-84.969166666667
ttu_469_place_19	Vietnam	Q881		16,108
ttu_469_place_20	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_469_place_21	Qui Nhơn	Q36081		13.769580555555555,109.23137222222222
ttu_469_place_22	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_23	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_24	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_25	Camp Radcliff	Q18386291		13.993,108.648498
ttu_469_place_26	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_27	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_28	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_29	Newman, North Carolina			
ttu_469_place_30	Suối Cả Valley	Q110943631		14.150583333333334,108.95794444444445
ttu_469_place_31	United States Military Academy	Q9219		41.39277778,-73.95833333
ttu_469_place_32	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_33	An Khê	Q15179893		13.9530664,108.6569463
ttu_469_place_34	Vietnam	Q881		16,108
ttu_469_place_35	United States of America	Q30		39.828175,-98.5795
ttu_469_place_36	Ia Drang Valley	Q2904975		13.583333333333,107.71666666667
