id	persName
ttu_457_person_0	Jay Weston David Whitescaber
ttu_457_person_1	Dr. Ron Milam
ttu_457_person_2	Leland Komich
ttu_457_person_3	Dr. Ron Milam
ttu_457_person_4	Lee Komich
ttu_457_person_5	Lee
ttu_457_person_6	General Harry W. Kinnard
ttu_457_person_7	General McAuliffe
ttu_457_person_8	General Kinnard
ttu_457_person_9	Dallas Harper
ttu_457_person_10	Chuck May
ttu_457_person_11	General Moore
ttu_457_person_12	Colonel Moore
ttu_457_person_13	Dallas Harper
ttu_457_person_14	Paul Winkel
ttu_457_person_15	Roger Bean
ttu_457_person_16	Roger Bean
ttu_457_person_17	Roger
ttu_457_person_18	Rozanski
ttu_457_person_19	General Moore
ttu_457_person_20	General Moore
ttu_457_person_21	Colonel Moore
ttu_457_person_22	Richard Smith
ttu_457_person_23	Smithy
ttu_457_person_24	Spires
ttu_457_person_25	Stinnett
ttu_457_person_26	Captain Stinnett
ttu_457_person_27	Major Brandt
