id	orgName
ttu_462_org_0	Texas Tech University
ttu_462_org_1	the Vietnam Center
ttu_462_org_2	MOS (Military Occupational Specialty Code
ttu_462_org_3	Company A, 1st Battalion 7th Cavalry
ttu_462_org_4	the 1st Cav
ttu_462_org_5	1st Cav
ttu_462_org_6	18th
ttu_462_org_7	Special forces
ttu_462_org_8	cav
ttu_462_org_9	class of ‘58?
ttu_462_org_10	Class of ’58
ttu_462_org_11	West Point
ttu_462_org_12	1st Air Cav
ttu_462_org_13	Alpha Company
ttu_462_org_14	first brigade
ttu_462_org_15	1st of 7th Cav
ttu_462_org_16	B Company
ttu_462_org_17	third brigade
ttu_462_org_18	G1 section
ttu_462_org_19	1st brigade
ttu_462_org_20	G1 section
ttu_462_org_21	G1
ttu_462_org_22	1st of the 7th
ttu_462_org_23	A Company
ttu_462_org_24	A Company
ttu_462_org_25	A Company
ttu_462_org_26	1st of the 7th
ttu_462_org_27	D Company
ttu_462_org_28	special forces
ttu_462_org_29	special forces
ttu_462_org_30	special forces
ttu_462_org_31	special forces’
ttu_462_org_32	American
ttu_462_org_33	PAVN
ttu_462_org_34	Alpha Company
ttu_462_org_35	Alpha Company
ttu_462_org_36	Viet Cong
ttu_462_org_37	3rd Brigade
ttu_462_org_38	VC (Viet Cong)
ttu_462_org_39	NVA (North Vietnamese Army)
ttu_462_org_40	Silver Bayonet
ttu_462_org_41	Silver Bayonet
ttu_462_org_42	Alpha Company
ttu_462_org_43	Alpha Company
ttu_462_org_44	Army Medical Corps
ttu_462_org_45	Medical Corps
ttu_462_org_46	1st of the 7th
ttu_462_org_47	1st of the 7th
ttu_462_org_48	West Point
ttu_462_org_49	OCS (Officer Candidate School)
ttu_462_org_50	OCS
ttu_462_org_51	OCS
ttu_462_org_52	ROTC
ttu_462_org_53	ROTC
ttu_462_org_54	US Army Infantry School
ttu_462_org_55	OCS
ttu_462_org_56	OCS
ttu_462_org_57	OCS
ttu_462_org_58	1st Cav
ttu_462_org_59	OCS
ttu_462_org_60	OCS
ttu_462_org_61	battalion
ttu_462_org_62	special forces
ttu_462_org_63	battalion
ttu_462_org_64	the US Army
ttu_462_org_65	battalion
ttu_462_org_66	ARA
ttu_462_org_67	The 1st Brigade
ttu_462_org_68	9th Cav
ttu_462_org_69	1st Brigade
ttu_462_org_70	2nd Brigade
ttu_462_org_71	brigade
ttu_462_org_72	Alpha company
ttu_462_org_73	B Company
ttu_462_org_74	B Company
ttu_462_org_75	B Company
ttu_462_org_76	B Company
ttu_462_org_77	B Company
ttu_462_org_78	B Company
ttu_462_org_79	B Company
ttu_462_org_80	C Company
ttu_462_org_81	B Company
ttu_462_org_82	B Company
ttu_462_org_83	B Company
ttu_462_org_84	C Company
ttu_462_org_85	Germans
ttu_462_org_86	the US Army
ttu_462_org_87	the Army War College
ttu_462_org_88	ROTC
ttu_462_org_89	B Company
ttu_462_org_90	B Company
ttu_462_org_91	B Company
ttu_462_org_92	NVA
ttu_462_org_93	Marines
ttu_462_org_94	B Company
ttu_462_org_95	B Company
ttu_462_org_96	ARA
ttu_462_org_97	Air Force
ttu_462_org_98	Air Force
ttu_462_org_99	Texas Tech University
ttu_462_org_100	West Point
ttu_462_org_101	LZ X-Ray
ttu_462_org_102	Texas Tech University
